Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,,,
19,19,Torino,Napoli,2024-01-07T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
19,19,Udinese,Lazio,2024-01-07T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
19,19,Salernitana,Juventus,2024-01-07T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
19,19,Roma,Atalanta,2024-01-07T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
20,20,Genoa,Torino,2024-01-13T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
20,20,Napoli,Salernitana,2024-01-13T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
20,20,Hellas Verona,Empoli,2024-01-13T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
20,20,Monza,Inter,2024-01-13T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_5,Full-Time,,,,
20,20,Lazio,Lecce,2024-01-14T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
20,20,Cagliari,Bologna,2024-01-14T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
20,20,Fiorentina,Udinese,2024-01-14T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
20,20,Milan,Roma,2024-01-14T19:45:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
20,20,Atalanta,Frosinone,2024-01-15T19:45:00Z,TRUE,TRUE,FALSE,FALSE,5_0,Full-Time,,,,
20,20,Juventus,Sassuolo,2024-01-16T19:45:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
21,21,Roma,Hellas Verona,2024-01-20T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
21,21,Udinese,Milan,2024-01-20T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time,,,,
21,21,Frosinone,Cagliari,2024-01-21T11:30:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
21,21,Empoli,Monza,2024-01-21T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
21,21,Salernitana,Genoa,2024-01-21T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
21,21,Lecce,Juventus,2024-01-21T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
22,22,Cagliari,Torino,2024-01-26T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
22,22,Atalanta,Udinese,2024-01-27T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
22,22,Juventus,Empoli,2024-01-27T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
