Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
398,Chris Smalling,Roma,0.1,0.0,389,8,ENG
398,Fabiano Parisi,Fiorentina,0.1,0.0,1452,21,ITA
398,Joao Ferreira,Udinese,0.1,0.0,1812,35,POR
398,Jordi Mboula,Verona,0.1,0.0,304,11,ESP
398,Juan Cabal,Verona,0.1,0.0,1497,22,COL
398,Mario Gila,Lazio,0.1,0.0,1813,21,ESP
398,Marten de Roon,Atalanta,0.1,0.0,2599,30,NED
398,Nicola Zalewski,Roma,0.1,0.0,966,22,POL
398,Nicolas Haas,Empoli,0.1,0.0,90,1,SUI
398,Nicolo Casale,Lazio,0.1,0.0,1557,20,ITA
398,Pablo Mari,Monza,0.1,0.0,2616,34,ESP
